period,respondent,fueltype,value
2022-01-01T00,ERCO,SUN,50
2022-01-01T01,ERCO,SUN,0
2022-01-01T02,ERCO,SUN,0
2022-01-01T03,ERCO,SUN,0
2022-01-01T04,ERCO,SUN,0
2022-01-01T05,ERCO,SUN,0
2022-01-01T06,ERCO,SUN,0
2022-01-01T07,ERCO,SUN,0
2022-01-01T08,ERCO,SUN,0
2022-01-01T09,ERCO,SUN,0
2022-01-01T10,ERCO,SUN,0
2022-01-01T11,ERCO,SUN,0
2022-01-01T12,ERCO,SUN,0
2022-01-01T13,ERCO,SUN,0
2022-01-01T14,ERCO,SUN,8
2022-01-01T15,ERCO,SUN,1349
2022-01-01T16,ERCO,SUN,3459
2022-01-01T17,ERCO,SUN,3242
2022-01-01T18,ERCO,SUN,2691
2022-01-01T19,ERCO,SUN,3593
2022-01-01T20,ERCO,SUN,4743
2022-01-01T21,ERCO,SUN,5070
2022-01-01T22,ERCO,SUN,4630
2022-01-01T23,ERCO,SUN,2008
2022-01-02T00,ERCO,SUN,231
2022-01-02T01,ERCO,SUN,0
2022-01-02T02,ERCO,SUN,0
2022-01-02T03,ERCO,SUN,0
2022-01-02T04,ERCO,SUN,0
2022-01-02T05,ERCO,SUN,0
2022-01-02T06,ERCO,SUN,0
2022-01-02T07,ERCO,SUN,0
2022-01-02T08,ERCO,SUN,0
2022-01-02T09,ERCO,SUN,0
2022-01-02T10,ERCO,SUN,0
2022-01-02T11,ERCO,SUN,0
2022-01-02T12,ERCO,SUN,0
2022-01-02T13,ERCO,SUN,0
2022-01-02T14,ERCO,SUN,17
2022-01-02T15,ERCO,SUN,1869
2022-01-02T16,ERCO,SUN,5499
2022-01-02T17,ERCO,SUN,6236
2022-01-02T18,ERCO,SUN,6052
2022-01-02T19,ERCO,SUN,6223
2022-01-02T20,ERCO,SUN,6477
2022-01-02T21,ERCO,SUN,6796
2022-01-02T22,ERCO,SUN,6830
2022-01-02T23,ERCO,SUN,5163
2022-01-03T00,ERCO,SUN,951
2022-01-03T01,ERCO,SUN,0
2022-01-03T02,ERCO,SUN,0
2022-01-03T03,ERCO,SUN,0
2022-01-03T04,ERCO,SUN,0
2022-01-03T05,ERCO,SUN,0
2022-01-03T06,ERCO,SUN,0
2022-01-03T07,ERCO,SUN,0
2022-01-03T08,ERCO,SUN,0
2022-01-03T09,ERCO,SUN,0
2022-01-03T10,ERCO,SUN,0
2022-01-03T11,ERCO,SUN,0
2022-01-03T12,ERCO,SUN,0
2022-01-03T13,ERCO,SUN,0
2022-01-03T14,ERCO,SUN,65
2022-01-03T15,ERCO,SUN,2578
2022-01-03T16,ERCO,SUN,6653
2022-01-03T17,ERCO,SUN,7084
2022-01-03T18,ERCO,SUN,6769
2022-01-03T19,ERCO,SUN,6567
2022-01-03T20,ERCO,SUN,6668
2022-01-03T21,ERCO,SUN,6979
2022-01-03T22,ERCO,SUN,6693
2022-01-03T23,ERCO,SUN,4135
2022-01-04T00,ERCO,SUN,566
2022-01-04T01,ERCO,SUN,0
2022-01-04T02,ERCO,SUN,0
2022-01-04T03,ERCO,SUN,0
2022-01-04T04,ERCO,SUN,0
2022-01-04T05,ERCO,SUN,0
2022-01-04T06,ERCO,SUN,0
2022-01-04T07,ERCO,SUN,0
2022-01-04T08,ERCO,SUN,0
2022-01-04T09,ERCO,SUN,0
2022-01-04T10,ERCO,SUN,0
2022-01-04T11,ERCO,SUN,0
2022-01-04T12,ERCO,SUN,0
2022-01-04T13,ERCO,SUN,0
2022-01-04T14,ERCO,SUN,51
2022-01-04T15,ERCO,SUN,1279
2022-01-04T16,ERCO,SUN,3251
2022-01-04T17,ERCO,SUN,3977
2022-01-04T18,ERCO,SUN,3867
2022-01-04T19,ERCO,SUN,3749
2022-01-04T20,ERCO,SUN,3887
2022-01-04T21,ERCO,SUN,4010
2022-01-04T22,ERCO,SUN,4377
2022-01-04T23,ERCO,SUN,4509
2022-01-05T00,ERCO,SUN,930
2022-01-05T01,ERCO,SUN,0
2022-01-05T02,ERCO,SUN,0
2022-01-05T03,ERCO,SUN,0
2022-01-05T04,ERCO,SUN,0
2022-01-05T05,ERCO,SUN,0
2022-01-05T06,ERCO,SUN,0
2022-01-05T07,ERCO,SUN,0
2022-01-05T08,ERCO,SUN,0
2022-01-05T09,ERCO,SUN,0
2022-01-05T10,ERCO,SUN,0
2022-01-05T11,ERCO,SUN,0
2022-01-05T12,ERCO,SUN,0
2022-01-05T13,ERCO,SUN,0
2022-01-05T14,ERCO,SUN,37
2022-01-05T15,ERCO,SUN,2208
2022-01-05T16,ERCO,SUN,6102
2022-01-05T17,ERCO,SUN,6637
2022-01-05T18,ERCO,SUN,6516
2022-01-05T19,ERCO,SUN,6391
2022-01-05T20,ERCO,SUN,6468
2022-01-05T21,ERCO,SUN,6735
2022-01-05T22,ERCO,SUN,6745
2022-01-05T23,ERCO,SUN,5185
2022-01-06T00,ERCO,SUN,1026
2022-01-06T01,ERCO,SUN,0
2022-01-06T02,ERCO,SUN,0
2022-01-06T03,ERCO,SUN,0
2022-01-06T04,ERCO,SUN,0
2022-01-06T05,ERCO,SUN,0
2022-01-06T06,ERCO,SUN,0
2022-01-06T07,ERCO,SUN,0
2022-01-06T08,ERCO,SUN,0
2022-01-06T09,ERCO,SUN,0
2022-01-06T10,ERCO,SUN,0
2022-01-06T11,ERCO,SUN,0
2022-01-06T12,ERCO,SUN,0
2022-01-06T13,ERCO,SUN,0
2022-01-06T14,ERCO,SUN,35
2022-01-06T15,ERCO,SUN,1338
2022-01-06T16,ERCO,SUN,3072
2022-01-06T17,ERCO,SUN,4279
2022-01-06T18,ERCO,SUN,5601
2022-01-06T19,ERCO,SUN,6436
2022-01-06T20,ERCO,SUN,6665
2022-01-06T21,ERCO,SUN,6979
2022-01-06T22,ERCO,SUN,6889
2022-01-06T23,ERCO,SUN,5132
2022-01-07T00,ERCO,SUN,1083
2022-01-07T01,ERCO,SUN,1
2022-01-07T02,ERCO,SUN,0
2022-01-07T03,ERCO,SUN,0
2022-01-07T04,ERCO,SUN,0
2022-01-07T05,ERCO,SUN,0
2022-01-07T06,ERCO,SUN,0
2022-01-07T07,ERCO,SUN,0
2022-01-07T08,ERCO,SUN,0
2022-01-07T09,ERCO,SUN,0
2022-01-07T10,ERCO,SUN,0
2022-01-07T11,ERCO,SUN,0
2022-01-07T12,ERCO,SUN,0
2022-01-07T13,ERCO,SUN,0
2022-01-07T14,ERCO,SUN,27
2022-01-07T15,ERCO,SUN,1960
2022-01-07T16,ERCO,SUN,5681
2022-01-07T17,ERCO,SUN,6247
2022-01-07T18,ERCO,SUN,6059
2022-01-07T19,ERCO,SUN,5934
2022-01-07T20,ERCO,SUN,5849
2022-01-07T21,ERCO,SUN,5900
2022-01-07T22,ERCO,SUN,5811
2022-01-07T23,ERCO,SUN,4517
2022-01-08T00,ERCO,SUN,1032
2022-01-08T01,ERCO,SUN,1
2022-01-08T02,ERCO,SUN,0
2022-01-08T03,ERCO,SUN,0
2022-01-08T04,ERCO,SUN,0
2022-01-08T05,ERCO,SUN,0
2022-01-08T06,ERCO,SUN,0
2022-01-08T07,ERCO,SUN,0
2022-01-08T08,ERCO,SUN,0
2022-01-08T09,ERCO,SUN,0
2022-01-08T10,ERCO,SUN,0
2022-01-08T11,ERCO,SUN,0
2022-01-08T12,ERCO,SUN,0
2022-01-08T13,ERCO,SUN,0
2022-01-08T14,ERCO,SUN,5
2022-01-08T15,ERCO,SUN,1255
2022-01-08T16,ERCO,SUN,3121
2022-01-08T17,ERCO,SUN,4302
2022-01-08T18,ERCO,SUN,4770
2022-01-08T19,ERCO,SUN,4815
2022-01-08T20,ERCO,SUN,4600
2022-01-08T21,ERCO,SUN,4993
2022-01-08T22,ERCO,SUN,5261
2022-01-08T23,ERCO,SUN,4325
2022-01-09T00,ERCO,SUN,1185
2022-01-09T01,ERCO,SUN,197
2022-01-09T02,ERCO,SUN,56
2022-01-09T03,ERCO,SUN,0
2022-01-09T04,ERCO,SUN,0
2022-01-09T05,ERCO,SUN,0
2022-01-09T06,ERCO,SUN,0
2022-01-09T07,ERCO,SUN,0
2022-01-09T08,ERCO,SUN,0
2022-01-09T09,ERCO,SUN,0
2022-01-09T10,ERCO,SUN,0
2022-01-09T11,ERCO,SUN,0
2022-01-09T12,ERCO,SUN,0
2022-01-09T13,ERCO,SUN,0
2022-01-09T14,ERCO,SUN,13
2022-01-09T15,ERCO,SUN,470
2022-01-09T16,ERCO,SUN,1098
2022-01-09T17,ERCO,SUN,1497
2022-01-09T18,ERCO,SUN,2272
2022-01-09T19,ERCO,SUN,3343
2022-01-09T20,ERCO,SUN,3990
2022-01-09T21,ERCO,SUN,4044
2022-01-09T22,ERCO,SUN,3414
2022-01-09T23,ERCO,SUN,2180
2022-01-10T00,ERCO,SUN,392
2022-01-10T01,ERCO,SUN,0
2022-01-10T02,ERCO,SUN,0
2022-01-10T03,ERCO,SUN,0
2022-01-10T04,ERCO,SUN,0
2022-01-10T05,ERCO,SUN,0
2022-01-10T06,ERCO,SUN,0
2022-01-10T07,ERCO,SUN,0
2022-01-10T08,ERCO,SUN,0
2022-01-10T09,ERCO,SUN,0
2022-01-10T10,ERCO,SUN,0
2022-01-10T11,ERCO,SUN,0
2022-01-10T12,ERCO,SUN,0
2022-01-10T13,ERCO,SUN,0
2022-01-10T14,ERCO,SUN,32
2022-01-10T15,ERCO,SUN,1064
2022-01-10T16,ERCO,SUN,3013
2022-01-10T17,ERCO,SUN,3735
2022-01-10T18,ERCO,SUN,4582
2022-01-10T19,ERCO,SUN,4636
2022-01-10T20,ERCO,SUN,4684
2022-01-10T21,ERCO,SUN,4836
2022-01-10T22,ERCO,SUN,3863
2022-01-10T23,ERCO,SUN,2645
2022-01-11T00,ERCO,SUN,400
2022-01-11T01,ERCO,SUN,0
2022-01-11T02,ERCO,SUN,0
2022-01-11T03,ERCO,SUN,0
2022-01-11T04,ERCO,SUN,0
2022-01-11T05,ERCO,SUN,0
2022-01-11T06,ERCO,SUN,0
2022-01-11T07,ERCO,SUN,0
2022-01-11T08,ERCO,SUN,0
2022-01-11T09,ERCO,SUN,0
2022-01-11T10,ERCO,SUN,0
2022-01-11T11,ERCO,SUN,0
2022-01-11T12,ERCO,SUN,0
2022-01-11T13,ERCO,SUN,0
2022-01-11T14,ERCO,SUN,44
2022-01-11T15,ERCO,SUN,983
2022-01-11T16,ERCO,SUN,3046
2022-01-11T17,ERCO,SUN,3870
2022-01-11T18,ERCO,SUN,4815
2022-01-11T19,ERCO,SUN,4971
2022-01-11T20,ERCO,SUN,4952
2022-01-11T21,ERCO,SUN,5368
2022-01-11T22,ERCO,SUN,5104
2022-01-11T23,ERCO,SUN,3162
2022-01-12T00,ERCO,SUN,664
2022-01-12T01,ERCO,SUN,2
2022-01-12T02,ERCO,SUN,0
2022-01-12T03,ERCO,SUN,0
2022-01-12T04,ERCO,SUN,0
2022-01-12T05,ERCO,SUN,0
2022-01-12T06,ERCO,SUN,0
2022-01-12T07,ERCO,SUN,0
2022-01-12T08,ERCO,SUN,0
2022-01-12T09,ERCO,SUN,0
2022-01-12T10,ERCO,SUN,0
2022-01-12T11,ERCO,SUN,0
2022-01-12T12,ERCO,SUN,0
2022-01-12T13,ERCO,SUN,0
2022-01-12T14,ERCO,SUN,13
2022-01-12T15,ERCO,SUN,1911
2022-01-12T16,ERCO,SUN,5704
2022-01-12T17,ERCO,SUN,6257
2022-01-12T18,ERCO,SUN,6260
2022-01-12T19,ERCO,SUN,6108
2022-01-12T20,ERCO,SUN,6293
2022-01-12T21,ERCO,SUN,6486
2022-01-12T22,ERCO,SUN,6765
2022-01-12T23,ERCO,SUN,5486
2022-01-13T00,ERCO,SUN,1354
2022-01-13T01,ERCO,SUN,0
2022-01-13T02,ERCO,SUN,0
2022-01-13T03,ERCO,SUN,0
2022-01-13T04,ERCO,SUN,0
2022-01-13T05,ERCO,SUN,0
2022-01-13T06,ERCO,SUN,0
2022-01-13T07,ERCO,SUN,0
2022-01-13T08,ERCO,SUN,0
2022-01-13T09,ERCO,SUN,0
2022-01-13T10,ERCO,SUN,0
2022-01-13T11,ERCO,SUN,0
2022-01-13T12,ERCO,SUN,0
2022-01-13T13,ERCO,SUN,0
2022-01-13T14,ERCO,SUN,58
2022-01-13T15,ERCO,SUN,2600
2022-01-13T16,ERCO,SUN,6602
2022-01-13T17,ERCO,SUN,7000
2022-01-13T18,ERCO,SUN,6714
2022-01-13T19,ERCO,SUN,6474
2022-01-13T20,ERCO,SUN,6534
2022-01-13T21,ERCO,SUN,6740
2022-01-13T22,ERCO,SUN,6881
2022-01-13T23,ERCO,SUN,5676
2022-01-14T00,ERCO,SUN,1439
2022-01-14T01,ERCO,SUN,3
2022-01-14T02,ERCO,SUN,0
2022-01-14T03,ERCO,SUN,0
2022-01-14T04,ERCO,SUN,0
2022-01-14T05,ERCO,SUN,0
2022-01-14T06,ERCO,SUN,0
2022-01-14T07,ERCO,SUN,0
2022-01-14T08,ERCO,SUN,0
2022-01-14T09,ERCO,SUN,0
2022-01-14T10,ERCO,SUN,0
2022-01-14T11,ERCO,SUN,0
2022-01-14T12,ERCO,SUN,0
2022-01-14T13,ERCO,SUN,0
2022-01-14T14,ERCO,SUN,48
2022-01-14T15,ERCO,SUN,2014
2022-01-14T16,ERCO,SUN,4807
2022-01-14T17,ERCO,SUN,5812
2022-01-14T18,ERCO,SUN,5488
2022-01-14T19,ERCO,SUN,3936
2022-01-14T20,ERCO,SUN,4283
2022-01-14T21,ERCO,SUN,5214
2022-01-14T22,ERCO,SUN,5017
2022-01-14T23,ERCO,SUN,3846
2022-01-15T00,ERCO,SUN,911
2022-01-15T01,ERCO,SUN,2
2022-01-15T02,ERCO,SUN,0
2022-01-15T03,ERCO,SUN,0
2022-01-15T04,ERCO,SUN,0
2022-01-15T05,ERCO,SUN,0
2022-01-15T06,ERCO,SUN,0
2022-01-15T07,ERCO,SUN,0
2022-01-15T08,ERCO,SUN,0
2022-01-15T09,ERCO,SUN,0
2022-01-15T10,ERCO,SUN,0
2022-01-15T11,ERCO,SUN,0
2022-01-15T12,ERCO,SUN,0
2022-01-15T13,ERCO,SUN,0
2022-01-15T14,ERCO,SUN,14
2022-01-15T15,ERCO,SUN,830
2022-01-15T16,ERCO,SUN,2127
2022-01-15T17,ERCO,SUN,2483
2022-01-15T18,ERCO,SUN,2698
2022-01-15T19,ERCO,SUN,2713
2022-01-15T20,ERCO,SUN,2806
2022-01-15T21,ERCO,SUN,2684
2022-01-15T22,ERCO,SUN,2415
2022-01-15T23,ERCO,SUN,2165
2022-01-16T00,ERCO,SUN,728
2022-01-16T01,ERCO,SUN,2
2022-01-16T02,ERCO,SUN,0
2022-01-16T03,ERCO,SUN,0
2022-01-16T04,ERCO,SUN,0
2022-01-16T05,ERCO,SUN,0
2022-01-16T06,ERCO,SUN,0
2022-01-16T07,ERCO,SUN,0
2022-01-16T08,ERCO,SUN,0
2022-01-16T09,ERCO,SUN,0
2022-01-16T10,ERCO,SUN,0
2022-01-16T11,ERCO,SUN,0
2022-01-16T12,ERCO,SUN,0
2022-01-16T13,ERCO,SUN,0
2022-01-16T14,ERCO,SUN,61
2022-01-16T15,ERCO,SUN,2662
2022-01-16T16,ERCO,SUN,6846
2022-01-16T17,ERCO,SUN,7290
2022-01-16T18,ERCO,SUN,7018
2022-01-16T19,ERCO,SUN,6782
2022-01-16T20,ERCO,SUN,6783
2022-01-16T21,ERCO,SUN,7049
2022-01-16T22,ERCO,SUN,7180
