period,respondent,fueltype,value
2023-01-01T00,ERCO,SUN,431
2023-01-01T01,ERCO,SUN,0
2023-01-01T02,ERCO,SUN,0
2023-01-01T03,ERCO,SUN,0
2023-01-01T04,ERCO,SUN,0
2023-01-01T05,ERCO,SUN,0
2023-01-01T06,ERCO,SUN,0
2023-01-01T07,ERCO,SUN,0
2023-01-01T08,ERCO,SUN,0
2023-01-01T09,ERCO,SUN,0
2023-01-01T10,ERCO,SUN,0
2023-01-01T11,ERCO,SUN,0
2023-01-01T12,ERCO,SUN,0
2023-01-01T13,ERCO,SUN,0
2023-01-01T14,ERCO,SUN,42
2023-01-01T15,ERCO,SUN,1256
2023-01-01T16,ERCO,SUN,4564
2023-01-01T17,ERCO,SUN,6095
2023-01-01T18,ERCO,SUN,6108
2023-01-01T19,ERCO,SUN,6356
2023-01-01T20,ERCO,SUN,6433
2023-01-01T21,ERCO,SUN,6460
2023-01-01T22,ERCO,SUN,5357
2023-01-01T23,ERCO,SUN,2610
2023-01-02T00,ERCO,SUN,323
2023-01-02T01,ERCO,SUN,0
2023-01-02T02,ERCO,SUN,0
2023-01-02T03,ERCO,SUN,0
2023-01-02T04,ERCO,SUN,0
2023-01-02T05,ERCO,SUN,0
2023-01-02T06,ERCO,SUN,0
2023-01-02T07,ERCO,SUN,0
2023-01-02T08,ERCO,SUN,0
2023-01-02T09,ERCO,SUN,0
2023-01-02T10,ERCO,SUN,0
2023-01-02T11,ERCO,SUN,0
2023-01-02T12,ERCO,SUN,0
2023-01-02T13,ERCO,SUN,0
2023-01-02T14,ERCO,SUN,10
2023-01-02T15,ERCO,SUN,667
2023-01-02T16,ERCO,SUN,3227
2023-01-02T17,ERCO,SUN,4736
2023-01-02T18,ERCO,SUN,5255
2023-01-02T19,ERCO,SUN,5275
2023-01-02T20,ERCO,SUN,5348
2023-01-02T21,ERCO,SUN,4882
2023-01-02T22,ERCO,SUN,3995
2023-01-02T23,ERCO,SUN,2640
2023-01-03T00,ERCO,SUN,531
2023-01-03T01,ERCO,SUN,1
2023-01-03T02,ERCO,SUN,1
2023-01-03T03,ERCO,SUN,1
2023-01-03T04,ERCO,SUN,1
2023-01-03T05,ERCO,SUN,1
2023-01-03T06,ERCO,SUN,1
2023-01-03T07,ERCO,SUN,1
2023-01-03T08,ERCO,SUN,1
2023-01-03T09,ERCO,SUN,1
2023-01-03T10,ERCO,SUN,1
2023-01-03T11,ERCO,SUN,1
2023-01-03T12,ERCO,SUN,1
2023-01-03T13,ERCO,SUN,1
2023-01-03T14,ERCO,SUN,33
2023-01-03T15,ERCO,SUN,1004
2023-01-03T16,ERCO,SUN,2864
2023-01-03T17,ERCO,SUN,4170
2023-01-03T18,ERCO,SUN,4787
2023-01-03T19,ERCO,SUN,5103
2023-01-03T20,ERCO,SUN,5471
2023-01-03T21,ERCO,SUN,5593
2023-01-03T22,ERCO,SUN,5814
2023-01-03T23,ERCO,SUN,4610
2023-01-04T00,ERCO,SUN,802
2023-01-04T01,ERCO,SUN,1
2023-01-04T02,ERCO,SUN,0
2023-01-04T03,ERCO,SUN,0
2023-01-04T04,ERCO,SUN,0
2023-01-04T05,ERCO,SUN,0
2023-01-04T06,ERCO,SUN,0
2023-01-04T07,ERCO,SUN,0
2023-01-04T08,ERCO,SUN,0
2023-01-04T09,ERCO,SUN,0
2023-01-04T10,ERCO,SUN,0
2023-01-04T11,ERCO,SUN,0
2023-01-04T12,ERCO,SUN,0
2023-01-04T13,ERCO,SUN,0
2023-01-04T14,ERCO,SUN,119
2023-01-04T15,ERCO,SUN,2806
2023-01-04T16,ERCO,SUN,7404
2023-01-04T17,ERCO,SUN,8333
2023-01-04T18,ERCO,SUN,8217
2023-01-04T19,ERCO,SUN,7866
2023-01-04T20,ERCO,SUN,8100
2023-01-04T21,ERCO,SUN,8017
2023-01-04T22,ERCO,SUN,7810
2023-01-04T23,ERCO,SUN,5961
2023-01-05T00,ERCO,SUN,994
2023-01-05T01,ERCO,SUN,1
2023-01-05T02,ERCO,SUN,0
2023-01-05T03,ERCO,SUN,0
2023-01-05T04,ERCO,SUN,0
2023-01-05T05,ERCO,SUN,0
2023-01-05T06,ERCO,SUN,0
2023-01-05T07,ERCO,SUN,0
2023-01-05T08,ERCO,SUN,0
2023-01-05T09,ERCO,SUN,0
2023-01-05T10,ERCO,SUN,0
2023-01-05T11,ERCO,SUN,0
2023-01-05T12,ERCO,SUN,0
2023-01-05T13,ERCO,SUN,0
2023-01-05T14,ERCO,SUN,125
2023-01-05T15,ERCO,SUN,3170
2023-01-05T16,ERCO,SUN,8041
2023-01-05T17,ERCO,SUN,8686
2023-01-05T18,ERCO,SUN,8416
2023-01-05T19,ERCO,SUN,8233
2023-01-05T20,ERCO,SUN,8370
2023-01-05T21,ERCO,SUN,8592
2023-01-05T22,ERCO,SUN,8668
2023-01-05T23,ERCO,SUN,6026
2023-01-06T00,ERCO,SUN,1003
2023-01-06T01,ERCO,SUN,1
2023-01-06T02,ERCO,SUN,0
2023-01-06T03,ERCO,SUN,0
2023-01-06T04,ERCO,SUN,0
2023-01-06T05,ERCO,SUN,0
2023-01-06T06,ERCO,SUN,0
2023-01-06T07,ERCO,SUN,0
2023-01-06T08,ERCO,SUN,0
2023-01-06T09,ERCO,SUN,0
2023-01-06T10,ERCO,SUN,0
2023-01-06T11,ERCO,SUN,0
2023-01-06T12,ERCO,SUN,0
2023-01-06T13,ERCO,SUN,0
2023-01-06T14,ERCO,SUN,84
2023-01-06T15,ERCO,SUN,2595
2023-01-06T16,ERCO,SUN,6068
2023-01-06T17,ERCO,SUN,6853
2023-01-06T18,ERCO,SUN,6858
2023-01-06T19,ERCO,SUN,6086
2023-01-06T20,ERCO,SUN,5405
2023-01-06T21,ERCO,SUN,5895
2023-01-06T22,ERCO,SUN,6713
2023-01-06T23,ERCO,SUN,4865
2023-01-07T00,ERCO,SUN,901
2023-01-07T01,ERCO,SUN,1
2023-01-07T02,ERCO,SUN,0
2023-01-07T03,ERCO,SUN,0
2023-01-07T04,ERCO,SUN,0
2023-01-07T05,ERCO,SUN,0
2023-01-07T06,ERCO,SUN,0
2023-01-07T07,ERCO,SUN,0
2023-01-07T08,ERCO,SUN,0
2023-01-07T09,ERCO,SUN,0
2023-01-07T10,ERCO,SUN,0
2023-01-07T11,ERCO,SUN,0
2023-01-07T12,ERCO,SUN,0
2023-01-07T13,ERCO,SUN,1
2023-01-07T14,ERCO,SUN,43
2023-01-07T15,ERCO,SUN,1723
2023-01-07T16,ERCO,SUN,5835
2023-01-07T17,ERCO,SUN,6066
2023-01-07T18,ERCO,SUN,5674
2023-01-07T19,ERCO,SUN,5858
2023-01-07T20,ERCO,SUN,5898
2023-01-07T21,ERCO,SUN,5713
2023-01-07T22,ERCO,SUN,5099
2023-01-07T23,ERCO,SUN,3247
2023-01-08T00,ERCO,SUN,554
2023-01-08T01,ERCO,SUN,1
2023-01-08T02,ERCO,SUN,0
2023-01-08T03,ERCO,SUN,0
2023-01-08T04,ERCO,SUN,0
2023-01-08T05,ERCO,SUN,0
2023-01-08T06,ERCO,SUN,0
2023-01-08T07,ERCO,SUN,0
2023-01-08T08,ERCO,SUN,0
2023-01-08T09,ERCO,SUN,0
2023-01-08T10,ERCO,SUN,0
2023-01-08T11,ERCO,SUN,0
2023-01-08T12,ERCO,SUN,0
2023-01-08T13,ERCO,SUN,0
2023-01-08T14,ERCO,SUN,37
2023-01-08T15,ERCO,SUN,2685
2023-01-08T16,ERCO,SUN,7747
2023-01-08T17,ERCO,SUN,8331
2023-01-08T18,ERCO,SUN,7991
2023-01-08T19,ERCO,SUN,7573
2023-01-08T20,ERCO,SUN,7928
2023-01-08T21,ERCO,SUN,7975
2023-01-08T22,ERCO,SUN,7709
2023-01-08T23,ERCO,SUN,5014
2023-01-09T00,ERCO,SUN,670
2023-01-09T01,ERCO,SUN,1
2023-01-09T02,ERCO,SUN,0
2023-01-09T03,ERCO,SUN,0
2023-01-09T04,ERCO,SUN,0
2023-01-09T05,ERCO,SUN,0
2023-01-09T06,ERCO,SUN,0
2023-01-09T07,ERCO,SUN,0
2023-01-09T08,ERCO,SUN,0
2023-01-09T09,ERCO,SUN,0
2023-01-09T10,ERCO,SUN,0
2023-01-09T11,ERCO,SUN,0
2023-01-09T12,ERCO,SUN,0
2023-01-09T13,ERCO,SUN,0
2023-01-09T14,ERCO,SUN,96
2023-01-09T15,ERCO,SUN,3064
2023-01-09T16,ERCO,SUN,8008
2023-01-09T17,ERCO,SUN,8527
2023-01-09T18,ERCO,SUN,8156
2023-01-09T19,ERCO,SUN,7430
2023-01-09T20,ERCO,SUN,7176
2023-01-09T21,ERCO,SUN,7835
2023-01-09T22,ERCO,SUN,7702
2023-01-09T23,ERCO,SUN,5335
2023-01-10T00,ERCO,SUN,994
2023-01-10T01,ERCO,SUN,1
2023-01-10T02,ERCO,SUN,0
2023-01-10T03,ERCO,SUN,0
2023-01-10T04,ERCO,SUN,0
2023-01-10T05,ERCO,SUN,0
2023-01-10T06,ERCO,SUN,0
2023-01-10T07,ERCO,SUN,0
2023-01-10T08,ERCO,SUN,0
2023-01-10T09,ERCO,SUN,0
2023-01-10T10,ERCO,SUN,0
2023-01-10T11,ERCO,SUN,0
2023-01-10T12,ERCO,SUN,0
2023-01-10T13,ERCO,SUN,0
2023-01-10T14,ERCO,SUN,39
2023-01-10T15,ERCO,SUN,1992
2023-01-10T16,ERCO,SUN,5224
2023-01-10T17,ERCO,SUN,7377
2023-01-10T18,ERCO,SUN,7701
2023-01-10T19,ERCO,SUN,6463
2023-01-10T20,ERCO,SUN,5719
2023-01-10T21,ERCO,SUN,5513
2023-01-10T22,ERCO,SUN,5442
2023-01-10T23,ERCO,SUN,4298
2023-01-11T00,ERCO,SUN,800
2023-01-11T01,ERCO,SUN,1
2023-01-11T02,ERCO,SUN,0
2023-01-11T03,ERCO,SUN,0
2023-01-11T04,ERCO,SUN,0
2023-01-11T05,ERCO,SUN,0
2023-01-11T06,ERCO,SUN,0
2023-01-11T07,ERCO,SUN,0
2023-01-11T08,ERCO,SUN,0
2023-01-11T09,ERCO,SUN,0
2023-01-11T10,ERCO,SUN,0
2023-01-11T11,ERCO,SUN,0
2023-01-11T12,ERCO,SUN,0
2023-01-11T13,ERCO,SUN,0
2023-01-11T14,ERCO,SUN,52
2023-01-11T15,ERCO,SUN,2302
2023-01-11T16,ERCO,SUN,5336
2023-01-11T17,ERCO,SUN,5732
2023-01-11T18,ERCO,SUN,6326
2023-01-11T19,ERCO,SUN,6660
2023-01-11T20,ERCO,SUN,5451
2023-01-11T21,ERCO,SUN,4764
2023-01-11T22,ERCO,SUN,4450
2023-01-11T23,ERCO,SUN,3023
2023-01-12T00,ERCO,SUN,583
2023-01-12T01,ERCO,SUN,1
2023-01-12T02,ERCO,SUN,1
2023-01-12T03,ERCO,SUN,1
2023-01-12T04,ERCO,SUN,0
2023-01-12T05,ERCO,SUN,0
2023-01-12T06,ERCO,SUN,0
2023-01-12T07,ERCO,SUN,0
2023-01-12T08,ERCO,SUN,0
2023-01-12T09,ERCO,SUN,0
2023-01-12T10,ERCO,SUN,0
2023-01-12T11,ERCO,SUN,0
2023-01-12T12,ERCO,SUN,0
2023-01-12T13,ERCO,SUN,0
2023-01-12T14,ERCO,SUN,104
2023-01-12T15,ERCO,SUN,2164
2023-01-12T16,ERCO,SUN,4122
2023-01-12T17,ERCO,SUN,4047
2023-01-12T18,ERCO,SUN,4055
2023-01-12T19,ERCO,SUN,4311
2023-01-12T20,ERCO,SUN,4725
2023-01-12T21,ERCO,SUN,4792
2023-01-12T22,ERCO,SUN,4953
2023-01-12T23,ERCO,SUN,4378
2023-01-13T00,ERCO,SUN,1472
2023-01-13T01,ERCO,SUN,3
2023-01-13T02,ERCO,SUN,0
2023-01-13T03,ERCO,SUN,0
2023-01-13T04,ERCO,SUN,0
2023-01-13T05,ERCO,SUN,0
2023-01-13T06,ERCO,SUN,0
2023-01-13T07,ERCO,SUN,0
2023-01-13T08,ERCO,SUN,0
2023-01-13T09,ERCO,SUN,0
2023-01-13T10,ERCO,SUN,0
2023-01-13T11,ERCO,SUN,0
2023-01-13T12,ERCO,SUN,0
2023-01-13T13,ERCO,SUN,0
2023-01-13T14,ERCO,SUN,148
2023-01-13T15,ERCO,SUN,3911
2023-01-13T16,ERCO,SUN,9088
2023-01-13T17,ERCO,SUN,9557
2023-01-13T18,ERCO,SUN,9126
2023-01-13T19,ERCO,SUN,8894
2023-01-13T20,ERCO,SUN,9101
2023-01-13T21,ERCO,SUN,9469
2023-01-13T22,ERCO,SUN,9645
2023-01-13T23,ERCO,SUN,7493
2023-01-14T00,ERCO,SUN,1672
2023-01-14T01,ERCO,SUN,3
2023-01-14T02,ERCO,SUN,0
2023-01-14T03,ERCO,SUN,0
2023-01-14T04,ERCO,SUN,0
2023-01-14T05,ERCO,SUN,0
2023-01-14T06,ERCO,SUN,0
2023-01-14T07,ERCO,SUN,0
2023-01-14T08,ERCO,SUN,0
2023-01-14T09,ERCO,SUN,0
2023-01-14T10,ERCO,SUN,0
2023-01-14T11,ERCO,SUN,0
2023-01-14T12,ERCO,SUN,0
2023-01-14T13,ERCO,SUN,0
2023-01-14T14,ERCO,SUN,160
2023-01-14T15,ERCO,SUN,2616
2023-01-14T16,ERCO,SUN,5615
2023-01-14T17,ERCO,SUN,6064
2023-01-14T18,ERCO,SUN,5555
2023-01-14T19,ERCO,SUN,5100
2023-01-14T20,ERCO,SUN,4745
2023-01-14T21,ERCO,SUN,4064
2023-01-14T22,ERCO,SUN,3759
2023-01-14T23,ERCO,SUN,2913
2023-01-15T00,ERCO,SUN,777
2023-01-15T01,ERCO,SUN,2
2023-01-15T02,ERCO,SUN,0
2023-01-15T03,ERCO,SUN,0
2023-01-15T04,ERCO,SUN,0
2023-01-15T05,ERCO,SUN,0
2023-01-15T06,ERCO,SUN,0
2023-01-15T07,ERCO,SUN,0
2023-01-15T08,ERCO,SUN,0
2023-01-15T09,ERCO,SUN,0
2023-01-15T10,ERCO,SUN,0
2023-01-15T11,ERCO,SUN,0
2023-01-15T12,ERCO,SUN,0
2023-01-15T13,ERCO,SUN,0
2023-01-15T14,ERCO,SUN,84
2023-01-15T15,ERCO,SUN,1615
2023-01-15T16,ERCO,SUN,3103
2023-01-15T17,ERCO,SUN,3047
2023-01-15T18,ERCO,SUN,3099
2023-01-15T19,ERCO,SUN,2738
2023-01-15T20,ERCO,SUN,2607
2023-01-15T21,ERCO,SUN,2501
2023-01-15T22,ERCO,SUN,2143
2023-01-15T23,ERCO,SUN,1349
2023-01-16T00,ERCO,SUN,227
2023-01-16T01,ERCO,SUN,0
2023-01-16T02,ERCO,SUN,0
2023-01-16T03,ERCO,SUN,0
2023-01-16T04,ERCO,SUN,0
2023-01-16T05,ERCO,SUN,0
2023-01-16T06,ERCO,SUN,0
2023-01-16T07,ERCO,SUN,0
2023-01-16T08,ERCO,SUN,0
2023-01-16T09,ERCO,SUN,0
2023-01-16T10,ERCO,SUN,0
2023-01-16T11,ERCO,SUN,0
2023-01-16T12,ERCO,SUN,0
2023-01-16T13,ERCO,SUN,0
2023-01-16T14,ERCO,SUN,28
2023-01-16T15,ERCO,SUN,1194
2023-01-16T16,ERCO,SUN,3263
2023-01-16T17,ERCO,SUN,4824
2023-01-16T18,ERCO,SUN,5720
2023-01-16T19,ERCO,SUN,5789
2023-01-16T20,ERCO,SUN,5377
2023-01-16T21,ERCO,SUN,4925
2023-01-16T22,ERCO,SUN,4906
2023-01-16T23,ERCO,SUN,3425
2023-01-17T00,ERCO,SUN,646
2023-01-17T01,ERCO,SUN,3
2023-01-17T02,ERCO,SUN,0
2023-01-17T03,ERCO,SUN,0
2023-01-17T04,ERCO,SUN,0
2023-01-17T05,ERCO,SUN,0
2023-01-17T06,ERCO,SUN,0
2023-01-17T07,ERCO,SUN,0
2023-01-17T08,ERCO,SUN,0
2023-01-17T09,ERCO,SUN,0
2023-01-17T10,ERCO,SUN,0
2023-01-17T11,ERCO,SUN,0
2023-01-17T12,ERCO,SUN,0
