period,respondent,fueltype,value
2022-01-01T00,ERCO,WND,16317
2022-01-01T01,ERCO,WND,18425
2022-01-01T02,ERCO,WND,17909
2022-01-01T03,ERCO,WND,15107
2022-01-01T04,ERCO,WND,13970
2022-01-01T05,ERCO,WND,13328
2022-01-01T06,ERCO,WND,12632
2022-01-01T07,ERCO,WND,12067
2022-01-01T08,ERCO,WND,12886
2022-01-01T09,ERCO,WND,14370
2022-01-01T10,ERCO,WND,16468
2022-01-01T11,ERCO,WND,18338
2022-01-01T12,ERCO,WND,18163
2022-01-01T13,ERCO,WND,18539
2022-01-01T14,ERCO,WND,18307
2022-01-01T15,ERCO,WND,17297
2022-01-01T16,ERCO,WND,16918
2022-01-01T17,ERCO,WND,17692
2022-01-01T18,ERCO,WND,17781
2022-01-01T19,ERCO,WND,16336
2022-01-01T20,ERCO,WND,14857
2022-01-01T21,ERCO,WND,14037
2022-01-01T22,ERCO,WND,14347
2022-01-01T23,ERCO,WND,16896
2022-01-02T00,ERCO,WND,18797
2022-01-02T01,ERCO,WND,19859
2022-01-02T02,ERCO,WND,20444
2022-01-02T03,ERCO,WND,20860
2022-01-02T04,ERCO,WND,21380
2022-01-02T05,ERCO,WND,21761
2022-01-02T06,ERCO,WND,21548
2022-01-02T07,ERCO,WND,20687
2022-01-02T08,ERCO,WND,19944
2022-01-02T09,ERCO,WND,19967
2022-01-02T10,ERCO,WND,20258
2022-01-02T11,ERCO,WND,20747
2022-01-02T12,ERCO,WND,20298
2022-01-02T13,ERCO,WND,19939
2022-01-02T14,ERCO,WND,19360
2022-01-02T15,ERCO,WND,17960
2022-01-02T16,ERCO,WND,15770
2022-01-02T17,ERCO,WND,12994
2022-01-02T18,ERCO,WND,10890
2022-01-02T19,ERCO,WND,10502
2022-01-02T20,ERCO,WND,9619
2022-01-02T21,ERCO,WND,8678
2022-01-02T22,ERCO,WND,7609
2022-01-02T23,ERCO,WND,6173
2022-01-03T00,ERCO,WND,5078
2022-01-03T01,ERCO,WND,4875
2022-01-03T02,ERCO,WND,4815
2022-01-03T03,ERCO,WND,4929
2022-01-03T04,ERCO,WND,4975
2022-01-03T05,ERCO,WND,4909
2022-01-03T06,ERCO,WND,4851
2022-01-03T07,ERCO,WND,4907
2022-01-03T08,ERCO,WND,5009
2022-01-03T09,ERCO,WND,5128
2022-01-03T10,ERCO,WND,5294
2022-01-03T11,ERCO,WND,5674
2022-01-03T12,ERCO,WND,6329
2022-01-03T13,ERCO,WND,6560
2022-01-03T14,ERCO,WND,7031
2022-01-03T15,ERCO,WND,7639
2022-01-03T16,ERCO,WND,5746
2022-01-03T17,ERCO,WND,4225
