period,respondent,fueltype,value
2023-01-01T00,ERCO,WND,14940
2023-01-01T01,ERCO,WND,17780
2023-01-01T02,ERCO,WND,20755
2023-01-01T03,ERCO,WND,21498
2023-01-01T04,ERCO,WND,22155
2023-01-01T05,ERCO,WND,22433
2023-01-01T06,ERCO,WND,22016
2023-01-01T07,ERCO,WND,21753
2023-01-01T08,ERCO,WND,21569
2023-01-01T09,ERCO,WND,21036
2023-01-01T10,ERCO,WND,20595
2023-01-01T11,ERCO,WND,20388
2023-01-01T12,ERCO,WND,20057
2023-01-01T13,ERCO,WND,19480
2023-01-01T14,ERCO,WND,17940
2023-01-01T15,ERCO,WND,16435
2023-01-01T16,ERCO,WND,13971
2023-01-01T17,ERCO,WND,10273
2023-01-01T18,ERCO,WND,9407
2023-01-01T19,ERCO,WND,9701
2023-01-01T20,ERCO,WND,8283
2023-01-01T21,ERCO,WND,7610
2023-01-01T22,ERCO,WND,8446
2023-01-01T23,ERCO,WND,9374
2023-01-02T00,ERCO,WND,10982
2023-01-02T01,ERCO,WND,16139
2023-01-02T02,ERCO,WND,20224
2023-01-02T03,ERCO,WND,21557
2023-01-02T04,ERCO,WND,22518
2023-01-02T05,ERCO,WND,23886
2023-01-02T06,ERCO,WND,23564
2023-01-02T07,ERCO,WND,22604
2023-01-02T08,ERCO,WND,21872
2023-01-02T09,ERCO,WND,21430
2023-01-02T10,ERCO,WND,20827
2023-01-02T11,ERCO,WND,20714
2023-01-02T12,ERCO,WND,20831
2023-01-02T13,ERCO,WND,21972
2023-01-02T14,ERCO,WND,21985
2023-01-02T15,ERCO,WND,19702
2023-01-02T16,ERCO,WND,17475
2023-01-02T17,ERCO,WND,16430
2023-01-02T18,ERCO,WND,17081
2023-01-02T19,ERCO,WND,19276
2023-01-02T20,ERCO,WND,19429
2023-01-02T21,ERCO,WND,19862
2023-01-02T22,ERCO,WND,20621
2023-01-02T23,ERCO,WND,21887
2023-01-03T00,ERCO,WND,23257
2023-01-03T01,ERCO,WND,21951
2023-01-03T02,ERCO,WND,20822
2023-01-03T03,ERCO,WND,20366
2023-01-03T04,ERCO,WND,20158
2023-01-03T05,ERCO,WND,20958
2023-01-03T06,ERCO,WND,21662
2023-01-03T07,ERCO,WND,21707
2023-01-03T08,ERCO,WND,21120
2023-01-03T09,ERCO,WND,20451
2023-01-03T10,ERCO,WND,20099
2023-01-03T11,ERCO,WND,19493
2023-01-03T12,ERCO,WND,18922
2023-01-03T13,ERCO,WND,17229
2023-01-03T14,ERCO,WND,15849
2023-01-03T15,ERCO,WND,15182
2023-01-03T16,ERCO,WND,12095
2023-01-03T17,ERCO,WND,11596
2023-01-03T18,ERCO,WND,11882
2023-01-03T19,ERCO,WND,10910
2023-01-03T20,ERCO,WND,10766
2023-01-03T21,ERCO,WND,10837
2023-01-03T22,ERCO,WND,10489
2023-01-03T23,ERCO,WND,10910
2023-01-04T00,ERCO,WND,9979
2023-01-04T01,ERCO,WND,9894
2023-01-04T02,ERCO,WND,11209
2023-01-04T03,ERCO,WND,11979
2023-01-04T04,ERCO,WND,12493
2023-01-04T05,ERCO,WND,11956
2023-01-04T06,ERCO,WND,11706
2023-01-04T07,ERCO,WND,12139
2023-01-04T08,ERCO,WND,13181
2023-01-04T09,ERCO,WND,13718
2023-01-04T10,ERCO,WND,13549
2023-01-04T11,ERCO,WND,12949
2023-01-04T12,ERCO,WND,13132
2023-01-04T13,ERCO,WND,12630
2023-01-04T14,ERCO,WND,13043
2023-01-04T15,ERCO,WND,13702
2023-01-04T16,ERCO,WND,12221
2023-01-04T17,ERCO,WND,13025
2023-01-04T18,ERCO,WND,13747
2023-01-04T19,ERCO,WND,13166
2023-01-04T20,ERCO,WND,12782
2023-01-04T21,ERCO,WND,13174
2023-01-04T22,ERCO,WND,12965
2023-01-04T23,ERCO,WND,11848
2023-01-05T00,ERCO,WND,8249
2023-01-05T01,ERCO,WND,6633
2023-01-05T02,ERCO,WND,8016
2023-01-05T03,ERCO,WND,9006
2023-01-05T04,ERCO,WND,8569
2023-01-05T05,ERCO,WND,7882
2023-01-05T06,ERCO,WND,8101
2023-01-05T07,ERCO,WND,7685
2023-01-05T08,ERCO,WND,6522
2023-01-05T09,ERCO,WND,5041
2023-01-05T10,ERCO,WND,4548
2023-01-05T11,ERCO,WND,4121
2023-01-05T12,ERCO,WND,4028
2023-01-05T13,ERCO,WND,3326
2023-01-05T14,ERCO,WND,2388
2023-01-05T15,ERCO,WND,1783
2023-01-05T16,ERCO,WND,894
2023-01-05T17,ERCO,WND,670
2023-01-05T18,ERCO,WND,1086
2023-01-05T19,ERCO,WND,1358
2023-01-05T20,ERCO,WND,1583
2023-01-05T21,ERCO,WND,2099
2023-01-05T22,ERCO,WND,2784
2023-01-05T23,ERCO,WND,3298
2023-01-06T00,ERCO,WND,4302
2023-01-06T01,ERCO,WND,6946
2023-01-06T02,ERCO,WND,10903
